CNPJ,Razão Social
07.886.407/0001-07,RAY INFORMATICA
07.923.038/0001-85,A.M.O. COMERCIO E SERVICOS
07.931.164/0001-81,
07.944.843/0001-95,CAPICUA FILMES
07.984.992/0001-88,ABRIGO VIRTUAL
08.011.866/0001-00,STTYLO FASHION
08.041.649/0001-62,
03.405.143/0001-71,A B C DIGITAL-DOC
05.222.333/0001-89,LEGALNET SISTEMA DE INFORMACAO LTDA.
79.546.651/0001-31,
03.191.622/0001-32,SISREDE
06.028.168/0001-91,PPK CONVENIENCIA E SERVICOS ADMINISTRATIVOS
01.734.225/0001-34,SPPNL-EXCELENCIA TREINAMENTOS
07.956.629/0001-59,
06.880.325/0001-92,
07.283.566/0001-17,ABARROS INFOMAQ
07.458.120/0001-86,POESIA FILMES
05.765.198/0001-18,COMPANHIA BRASILEIRA DE TEATRO
07.567.854/0001-01,
07.507.966/0001-69,LIVE CONSULTORIA E AUDITORIA AMBIENTAL
04.309.501/0001-05,SERSUSTENTAVEL
07.922.372/0001-14,INOWEB
05.025.594/0001-09,
95.357.273/0001-02,SIL INFORMATICA
05.651.560/0001-20,INNOVA SOLUCOES TECNOLOGICAS
05.667.190/0001-19,CALLTEC
00.800.795/0001-12,OKO CRIATIVO
04.295.269/0001-01,
06.121.672/0001-31,
75.156.588/0001-76,ASSOCIACAO DE HOSPITAIS DO ESTADO DO PARANA
02.931.942/0001-19,IDEE SOLUCOES
01.322.568/0001-91,
04.718.008/0001-49,SEC-SOLUCOES EM COMERCIALIZACAO
76.647.106/0001-43,
77.185.445/0001-18,
79.154.571/0001-30,
07.333.951/0001-21,
07.483.749/0001-86,
07.558.246/0001-22,BSA ASSESSORIA EM AGROPECUARIOS
07.855.005/0001-45,PDA-ON
04.652.197/0002-85,
47.960.950/0126-42,MAGAZINE LUIZA
95.398.053/0001-19,CAPES ASSESSORIA E PESQUISA
06.195.471/0001-89,
75.114.272/0001-11,
77.163.483/0001-70,
07.287.481/0001-07,VSS PRODUCOES
07.795.063/0001-20,
07.801.162/0001-78,PRATO NOBRE
07.923.084/0001-84,FIRE SYSTEM ALARMES PARA INCENDIO
08.067.463/0001-82,FIPAVI
02.274.591/0001-10,
06.268.712/0001-72,
01.626.231/0001-78,
04.990.394/0001-23,
00.196.521/0001-66,
04.277.062/0001-04,NET GUARANA SERVICOS DE INTERNET
03.443.886/0001-36,WISESYSTEMS
05.105.330/0001-65,
05.123.190/0001-58,
05.126.849/0001-20,
05.244.993/0001-60,
02.028.309/0001-15,
00.593.896/0001-60,ROSFIL
05.680.322/0001-42,
00.721.756/0001-20,SCUBASUL ATIVIDADES SUBAQUATICAS
00.900.633/0001-56,M.MARCFEL CONSULTORIA EMPRESARIAL
04.651.979/0001-19,EDROS INFORMATICA
76.494.806/0001-45,"TV PARANAENSE, REDE PARANAENSE"
76.673.797/0001-50,FEAP
03.118.434/0001-89,SOFTCONT
80.236.078/0001-49,
01.795.647/0001-10,IMOVEIS J. E. COTARELLI
76.151.034/0001-49,
03.443.139/0001-06,SPANNEL
05.409.268/0001-03,HARLEQUIN PRODUCOES
07.012.577/0001-62,
06.289.922/0001-47,"TECER TEATRO - ARTE, EDUCACAO E CULTURA"
82.077.330/0001-40,
07.596.011/0001-25,OTIMIZA INFORMATICA LTDA
86.917.457/0001-80,
00.961.333/0001-87,IDEALSOFT
01.099.065/0001-07,
01.427.231/0001-49,FORTIS CODE SISTEMAS
05.852.501/0001-10,ACOM SISTEMAS
03.135.346/0001-95,
03.930.084/0001-50,GD9 ASSESSORIA EM RECURSOS HUMANOS
08.943.526/0001-17,
04.576.569/0002-31,HOTEIS ELO
08.219.553/0001-41,
08.236.185/0001-40,OPERA JAZZ & CO
08.290.552/0001-93,MORGOT BISTRO
08.488.786/0001-40,YMOVEIS.COM
08.512.041/0001-79,ZALIA SASSO
08.405.806/0001-71,HYPERLAN COMERCIO E MANUTENCAO DE INFORMATICA
08.624.379/0001-12,
08.652.131/0001-65,
08.690.592/0001-22,VIVA CAFE
08.745.611/0001-70,
08.767.265/0001-21,NATAN ASSESSORIA E CONSULTORIA EM INFORMATICA LTDA
08.789.433/0001-80,MENONITAS SERVICOS
08.795.806/0001-25,ANBEX
08.826.807/0001-90,X - SPORTS
08.856.073/0001-91,VIDEO STORE LOCADORA
08.868.658/0001-21,ARSIE TECNOLOGY
08.889.021/0001-11,BRINDESMIL
08.909.630/0001-95,
08.912.122/0001-66,
08.971.874/0001-06,DAEMME CONSULTORIA E ASSESSORIA AMBIENTAL
09.015.664/0001-07,PMO ELETRICA
02.890.199/0011-78,
09.091.948/0001-74,R23 TECHNOLOGIES
09.104.962/0001-65,
09.198.452/0001-02,
09.235.930/0001-07,C.S. FILMES
09.263.415/0001-22,PLYGREEN
09.263.771/0001-46,SETUPNET
09.426.501/0001-09,SCHURMANN'S CONSULTORIA & NEGOCIOS
09.437.566/0001-50,
09.497.408/0001-95,MARCO AURELIO REIS REIS
09.532.231/0001-10,MK INFOR
02.189.924/0009-60,
